,JobText
23,"Title: CDL Delivery Driver 
 COMPANY: Lowe's 
 Location ZipCode: 73012 
 Job Description: Job Description:

Position Description

Responsible for planning and executing delivery activities, preparing delivery loads, following planned delivery routes, and assisting with merchandise installations or returns, unloading, installing, and checking appliances and store equipment. Also responsible for the cleanliness and standard maintenance of delivery vehicles, observing safety procedures regarding Department of Transportation (DOT) regulations, Hazmat, and power equipment tools, maintaining DOT and CDL certifications, and complying with reporting

Job Requirements

Requires morning, afternoon, and evening availability any day of the week. Physical ability to move large, bulky and/or heavy merchandise. Physical ability to perform tasks that may require prolonged standing, sitting, and other activities necessary to perform job duties.

Minimum Qualifications

Valid Class A or B (with air brake endorsement) license

Ability to read, write, and perform basic arithmetic (addition, subtraction).

Minimum 21 year of age.

Preferred Qualifications

3 months experience operating a forklift or Moffett onloading/offloading a vehicle.

1 year experience driving a semi-truck/trailer OR certification from a driving school.

6 months experience performing in-home delivery OR retail customer service.

Job ID: 1417382BR

Line of Business: Store

Job Category: Retail Associate

Department: 0605 - Delivery

Employment Type I: Regular

Employment Type II: Full-Time

Location #: 1549

Location Name: Edmond, OK

City: Edmond

State: OK

EEO Statement:

Loweâs is an equal opportunity employer and administers all personnel practices without regard to race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity or expression, marital status, veteran status, genetics or any other category protected under applicable law.  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""3c42298ac12b4f84b60b591dff1874761808""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 560578072 
 fedcontractor: 1"
24,"Title: Station Electrician C - A 
 COMPANY: American Electric Power 
 Location ZipCode: 74152 
 Job Description: 19054BR

Title:

Station Electrician C - A

Job Description:

Perform all types of work involved in the construction, maintenance, rebuild, removal, operation, testing and inspection of energized or de-energized generation, transmission and distribution facilities. Assist in responding to emergency call-outs on station trouble and coordinating prompt restoration of service to customers as required. The following list sets forth the principal duties required with the degree of supervision normally given. This list is not intended to limit assignment of work or the degree of supervision under all operating conditions. Employee may perform miscellaneous, related, and incidental work in addition to that specifically outlined below.,

The following reference is provided as a guideline for persons responsible for directing the duties and responsibilities of assigned personnel, to assist in the safety and development of employees, and is not intended to limit assignment of work or the degree of supervision under all operating conditions:,

DIRECT SUPERVISION - When a qualified person is working with/hands-on with the person performing the designated task.,

IMMEDIATE SUPERVISION - When a qualified person is near the structure/equipment and is in constant visual and/or verbal contact to the person performing the designated task.,

GENERAL SUPERVISION - An employee of equal or higher classification, knowledgeable of the task at hand and not necessarily at the job site.,

QUALIFIED PERSON - Station Electrician or Supervisor who is knowledgeable of the task or work to be performed, and is capable of performing the appropriate emergency rescue.

Work on energized equipment up to 260 volts. After six months in classification, employee shall assist in work on conductors and equipment energized at voltages above 750 volts with direct supervision or assistance of personnel in higher classification.

a. Select proper prints and/or drawings for various work and have a basic understanding of each.

b. Use voltmeters, ohmmeters, ammeters, insulation meggers and other test equipment associated with station work.

Assist in disassembling and reassembling, inspecting, maintenance, and repairing of station transformers, circuit breakers, portable substations, rotating machinery, network protectors and transformers, air ducts and heat exchangers; install and maintain station batteries; replace nitrogen bottles and air filters.

Assist in station work such as installing conduit, pipe, cable and wire; use hand lines to pass tools and materials; dig and backfill trenches; remove and spread stone; uncrate equipment and material; install and remove portable substation fences, barriers and safety signs; paint structures and equipment; climb station structures.

a. Use various kinds of tapes, insulating materials, protective and insulating paints and varnishes, and understand proper application of each.

Assist in making visual inspections such as check lights, heaters, circuit breaker counters, oil levels, and bus connections; read gauges such as voltmeters, ammeters, hydrometers, pressure and level gauges; apply start-run-stop tests on emergency generators, water and sump pumps and fire engine motors. Report abnormal conditions.

a. Replace lamps, switches, duplex outlets, dry cells; install and maintain signal and communication systems.

b. Assist in various tests involving oil samples, connecting and operating portable and stationary oil handling equipment. Assist in electrical tests, TTR, Doble, core megger and resistance for transformer testing, etc.

Assist in station switching including use of radio communication and/or direct instruction from higher classification, assist in checking equipment clearances and making de-energized tests, place grounds as directed.

Knowledge and proficiency in steel and aerial lift rescue.

Maintain records and prepare and submit reports as required.

Attend and participate in training and assist in the training of other employees as assigned.

Use and operate various company vehicles, specialized equipment, hand and power tools.

a. Operate company vehicles, cranes, aerial lifts and specialized equipment. Perform duties incidental to the operation of such equipment

b. Use hand and power tools; operate portable generators, blowers and pumps; inspect and store personal protective equipment.

c. Knowledge and use of various knots used in station work.

Perform similar or less skilled work as assigned.

Assist employees of equal or higher classification; direct the work of employees assigned to assist.

Become familiar with the Company's safety rules and practices and in the application of resuscitation and First Aid as presented in the Company's Safety Manual. Perform duties in accordance with the Company's safety rules and operating regulations and practices.

Auto req ID:

19054BR

Relocation:

No

Location:

Tulsa, OK

Job Type:

Full-Time

Job Category:

Installation, Maintenance and Repair

Minimum Requirements:

Education: Associate degree in electrical/mechanical/industrial maintenance technology or equivalent education and/or experience.

Equivalent education and experience is limited to military training and work experience of technical/technician nature (such as aviation and nuclear instrumentation technician); or recent experience (within last 6 months) as a Station Electrician or equivalent job title with another utility or contractor.

Experience: No previous work experience required.

Other requirements:

Knowledge of print reading sufficient to interpret and apply information from drawings, instruction manuals, one-line diagrams, and associated documents.

Must satisfactorily complete, in such time frames as may be established by the Company, all required training to advance to the next higher classification in the line of progression, or vacate the current classification.

Must have the ability and desire to acquire the necessary knowledge and skills to perform the duties and/or responsibilities of the key job (Station Electrician A) in this family and be qualified through demonstration, examination and/or performance appraisal as determined by the Company.

Ability to deal with customers and other employees in a courteous and professional manner.

Ability to plan work and to properly instruct and brief others.

Must possess and maintain a valid commercial driver's license.­ Must meet all vehicle operation requirements as designated by federal and/or state law.

Considerable travel and overtime may be required to complete work assignments.

Must successfully complete Physical Abilities Test (PAT)

Required to reside within a 25 mile radius or 30 roadway miles of the dock/reporting location.

Equal Opportunity Employer | Minorities/Females/Disability/Vets  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""c2eb9fdcb4df40d38239849f27aa888d1808""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 13-4922640 
 fedcontractor: 1"
25,"Title: Priest, Ordained 
 COMPANY: Saint Francis Health System 
 Location ZipCode: 74152 
 Job Description: Priest, Ordained
Department
69750 - Dept of Religion
Schedule
7a - 3p (Days)
Shift
Exempt Full Time
Hours
40.00
Requisition #
21666
Job Details

Job Summary:

The Priest Chaplain is a full member of the health system team. They officiate at the Holy Sacrifice of the Mass and are responsible for meeting the Sacramental needs of patients. They also support and comfort patients, family and staff as they deal with the emotional and spiritual trauma of a hospital stay. They promote understanding of suffering and dying as an integral part of life and as a sign of the Lord Jesus' love for all.

Education:

Bachelor's Degree with empahsis in Pastoral Ministry or Theology.

Licensure, Registration and/or Certification:

None.

Work Experience:

2-4 years related experience as a Priest.

Knowledge, Skills and Abilities:

- Excellent interpersonal skills.
- Ability to exercize sound judgment.
- Ability to be motivated by faith and demonstrate emotional stability.
- Ability to utilize PC and software applications.
EOE Protected Veterans/Disability  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""4c12f830db3a4b70a973f4d185d184981808""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 73-1501972 
 fedcontractor: 1"
26,"Title: Service Technician 
 COMPANY: Atlas Copco Compressors 
 Location ZipCode: 19090 
 Job Description: Description/Job Summary
Imagine your future with Atlas Copco!
Atlas Copco is a world leading provider of industrial productivity solutions. Our products and services range from compressed air and gas equipment, generators, construction and mining equipment, and industrial tools and assembly systems to related aftermarket and rental. In close cooperation with customers and business partners and with more than 140 years of experience, Atlas Copco innovates for superior productivity. Headquartered in Stockholm, Sweden, we presently have 40,000 employees located in 180 countries around the globe.
*We are seeking a Service Technician to join our team in Willow Grove, PA.
Job Duties:
Service Maintenance and Repair: The Service Technician will perform routine, preventative maintenance and repairs on oil-injected and oil-free air compressors. Preventative maintenance should be conducted in accordance with manufacturer s recommendations (with regards to schedule and scope). A main responsibility of this role is to troubleshoot and perform diagnostics on malfunctioning compressors, determine possible causes for malfunctions, and perform repairs as suggested by diagnostics and assessment. Prior to and following preventative maintenance and repairs, you are responsible to test and document the proper operating parameters of the compressor.
Since safety is Atlas Copco s #1 priority, all Technicians are required to promote and practice proper safety procedures and the correct use of personal protective equipment at all times.
The ideal candidate should display the ability to absorb a higher level of learning, through continuous on the job and classroom training which includes VSD s, refrigeration, industrial networks, remote monitoring, and air audits.
Customer Service: The Service Technician serves as a brand ambassador for the company, promoting Atlas Copco and its high standards of providing exceptional service. They provide a high level of customer service, responding to customer needs and working to satisfy customer expectations within a timely manner. The Service Technician can guarantee returned business by developing rapport with customers through effective communication, interpersonal skills, and professionalism.
Qualifications:
- High School diploma or equivalent required with technical training in electrical, hydraulics, and/or pneumatics preferred.
- Minimal of 2 years of strong mechanical and electrical experience with demonstrated expertise in the maintenance, overhaul, and repair of a wide variety of industrial equipment, including electrical, hydraulics and/or pneumatics.
- Experience in HVAC is a plus, compressor experience strongly desired.
- Possess and maintain a valid Driver s License.
- Able to work independently with strong self-management and professionalism.
- Able to complete work within assigned deadlines.
- Computer proficiency as required for communication, research, work orders and programming various controllers.
- Available for a rotating schedule of on-call work on evenings, weekends and holidays.
- Must be able to read and write in English.
- Must be able to lift up to 50 lbs. on a regular basis and work in industrial environments including extremes in temperature with continuous walking, reaching, bending, and kneeling.
- Overnight travel is required.
So are you ready for a world-class challenge? Then join Atlas Copco, the world's leading provider of industrial compressed air equipment, parts, and service.
Atlas Copco Compressors LLC is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, protective veteran status or any other category protected by state or local laws.  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""d27807d6ca9b49efa8d122ceabddd4001810""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein:  
 fedcontractor: 0"
27,"Title: Exec Dir, Value Based and Medi 
 COMPANY: Aetna 
 Location ZipCode: 19422 
 Job Description: Req ID: 51325BR

POSITION SUMMARY

Accountable for facilitating the development of market network strategy and leveraging Value Based Solutions (VBS) and Medicare assets and overall company network resources. Provide information, support, specialist resources, expert opinion and thought leadership needed to support the attainment of local and enterprise network business objectives. May be responsible to lead negotiations and development of Collaborations, Advance Physician Partnerships and/or Joint Venture Health Plan or RBE relationships. Develop partnership guidelines and leverage enterprise best practices for providers with innovative models or national scope. Become a trusted advisor and key resource for all provider network related issues for an identified geographical region.


Fundamental Components:

Stimulates strategic thinking in support of business direction Helps develop and drive territory and market-specific Medicare, Value Based Contracting (VBC) and Joint Venture strategies that lead to increasingly accretive arrangements Leverages deep quantitative and qualitative market intelligence to ensure that network strategy is powered by comprehensive and robust strategic analysis Collaborates with Aetnas market leadership and senior executives to develop business case and gain internal approvals Serves as point to identify and close gaps in organization capability/support inhibiting attainment of network performance and growth potential Works collaboratively with health plans, territories, and business segments on Medicare network related activities such as service area expansions, adequacy, compliance, audits. Rolls out new programs/strategy to market (e.g., bundled reimbursements, delegation, capitation) Establishes or manages relationships with senior executives and strategic/innovative providers or joint venture targets, cultivating a preferred payer status for Aetna Identifies and develops innovative provider partnerships and leverages them to attain disproportionate share growth Owns end-to-end negotiation of multi-state and/or complex arrangements such as joint ventures


BACKGROUND/EXPERIENCE desired:

15+ years leadership experience and technical/functional expertise, recognized as an expert in one or more of the following at a payer, managed care or provider organization: Network development/management, network operations, consulting, mergers and acquisition, finance, Medicare Advantage 7+ years experience with value based contracting from a payer or provider perspective Proven knowledge and experience in commercial and government programs including Medicare and/or Medicaid Management of enterprise-wide and/or cross-functional large scale initiatives Solid understanding of hospital and physician practices operations and business models Demonstrated experience successfully implementing change initiatives Demonstrated sales and/or relationship management skills at a senior level and with external constituents Demonstrated ability to develop and drive enterprise strategies for complex problems/ opportunities and to communicate and gain approval from senior leadership Candid, transparent and persuasive communication manner, seeking others input and adjusting approach based on audience and the need MBA/Masters degree strongly preferred, Bachelors degree required


EDUCATION

The highest level of education desired for candidates in this position is a Master's degree.


FUNCTIONAL EXPERIENCES

Functional - Network Management/Contract negotiation/More Than 10 Years

Functional - Management/Management - Network Management/More Than 10 Years

Functional - Planning/Planning & performance management/More Than 10 Years



ADDITIONAL JOB INFORMATION

We are pioneering the transformation of healthcare by partnering with our local markets to create the best possible member and provider experience. Our expertise in aligning market needs with network solutions, execution, and measurement, differentiates our support to providers, producing healthy outcomes that are the envy of the industry.


Our multidisciplinary team of experts provides and uses the most advanced tools, education, data and insights to effectively manage performance. Our programs engage strategic providers in improving the health of local communities while driving our top line growth.


With our passion for personal growth and innovation, we integrate Medicare and Commercial expertise to fuel Enterprise growth and shape the future of Value Based Solutions (VBS.) With trust, transparency, accessibility and timely communication, we personalize our relationships with local markets and providers to build a healthier world.


Aetna is about more than just doing a job. This is our opportunity to re-shape healthcare for America and across the globe. We are developing solutions to improve the quality and affordability of healthcare. What we do will benefit generations to come.


We care about each other, our customers and our communities. We are inspired to make a difference, and we are committed to integrity and excellence.


Together we will empower people to live healthier lives.


Aetna is an equal opportunity & affirmative action employer. All qualified applicants will receive consideration for employment regardless of personal characteristics or status. We take affirmative action to recruit, select and develop women, people of color, veterans and individuals with disabilities.


We are a company built on excellence. We have a culture that values growth, achievement and diversity and a workplace where your voice can be heard.







Benefit eligibility may vary by position. Click here to review the benefits associated with this position.







Aetna takes our candidate's data privacy seriously. At no time will any Aetna recruiter or employee request any financial or personal information (Social Security Number, Credit card information for direct deposit, etc.) from you via e-mail. Any requests for information will be discussed prior and will be conducted through a secure website provided by the recruiter. Should you be asked for such information, please notify us immediately.

Job Function: Customer Service  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""0c8636adf05c4d0487c6dab44a96a5a71810""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 06-6033492 
 fedcontractor: 1"
28,"Title: Service Technician 
 COMPANY: Atlas Copco Compressors 
 Location ZipCode: 19020 
 Job Description: Description/Job Summary
Imagine your future with Atlas Copco!
Atlas Copco is a world leading provider of industrial productivity solutions. Our products and services range from compressed air and gas equipment, generators, construction and mining equipment, and industrial tools and assembly systems to related aftermarket and rental. In close cooperation with customers and business partners and with more than 140 years of experience, Atlas Copco innovates for superior productivity. Headquartered in Stockholm, Sweden, we presently have 40,000 employees located in 180 countries around the globe.
*We are seeking a Service Technician to join our team in Bensalem, PA
Job Duties:
Service Maintenance and Repair: The Service Technician will perform routine, preventative maintenance and repairs on oil-injected and oil-free air compressors. Preventative maintenance should be conducted in accordance with manufacturer s recommendations (with regards to schedule and scope). A main responsibility of this role is to troubleshoot and perform diagnostics on malfunctioning compressors, determine possible causes for malfunctions, and perform repairs as suggested by diagnostics and assessment. Prior to and following preventative maintenance and repairs, you are responsible to test and document the proper operating parameters of the compressor.
Since safety is Atlas Copco s #1 priority, all Technicians are required to promote and practice proper safety procedures and the correct use of personal protective equipment at all times.
The ideal candidate should display the ability to absorb a higher level of learning, through continuous on the job and classroom training which includes VSD s, refrigeration, industrial networks, remote monitoring, and air audits.
Customer Service: The Service Technician serves as a brand ambassador for the company, promoting Atlas Copco and its high standards of providing exceptional service. They provide a high level of customer service, responding to customer needs and working to satisfy customer expectations within a timely manner. The Service Technician can guarantee returned business by developing rapport with customers through effective communication, interpersonal skills, and professionalism.
Qualifications:
- High School diploma or equivalent required with technical training in electrical, hydraulics, and/or pneumatics preferred.
- Minimal of 2 years of strong mechanical and electrical experience with demonstrated expertise in the maintenance, overhaul, and repair of a wide variety of industrial equipment, including electrical, hydraulics and/or pneumatics.
- Experience in HVAC is a plus, compressor experience strongly desired.
- Possess and maintain a valid Driver s License.
- Able to work independently with strong self-management and professionalism.
- Able to complete work within assigned deadlines.
- Computer proficiency as required for communication, research, work orders and programming various controllers.
- Available for a rotating schedule of on-call work on evenings, weekends and holidays.
- Must be able to read and write in English.
- Must be able to lift up to 50 lbs. on a regular basis and work in industrial environments including extremes in temperature with continuous walking, reaching, bending, and kneeling.
- Overnight travel is required.
So are you ready for a world-class challenge? Then join Atlas Copco, the world's leading provider of industrial compressed air equipment, parts, and service.
Atlas Copco Compressors LLC is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, protective veteran status or any other category protected by state or local laws.  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""06d8a3b57ebd43f6b48aa9a2d4023d551810""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein:  
 fedcontractor: 0"
29,"Title: MERCHANDISE ASSISTANT MANAGER 
 COMPANY: Dollar Tree 
 Location ZipCode: 18603 
 Job Description: 128754BR

Title:

MERCHANDISE ASSISTANT MANAGER

Division:

STORE

Job Description:

Responsible for assisting with merchandising and freight processing tasks that have been delegated and assigned by the Store Manager. Assist with the hiring, training and development of store associates as delegated by the Store Manager

Principal Duties and Responsibilities:

- Assist with all store functions and day-to-day store activities as directed by the Store Manager

- Able to perform all opening and closing procedures in the absence of the Store Manager

- Assist the Store Manager in protecting and securing all company assets, including store cash

- Adhere to all policies and procedures including safety guidelines

- Maintain a professional and friendly environment with customers, subordinates and supervisors

- Maintain all areas of the store, including the stockroom and sales floor, to company standards to include recovery

- When the Store Manager is not on the premises, direct supervisory responsibility for all hourly Associates

- Process all SSC Corporate directives including Pull and Hold/Destroy, Task Compliance, Key Survey information

- requests and any additional communications related to store activities as delegated by the Store Manager

- Assist the Store Manager on the receipt and return of DSD merchandise

- Follow the VIP and DSD Policies and Procedures

- Assist Store Manager in the management of freight flow

- Meet or exceed productivity standards

- Assist the Store Manager in ordering and stocking all merchandise needs, including frozen & refrigerated

- Assist the Store Manager in maintaining stockroom organization

- Assist the Store Manager in ensuring that the sales floor is sales effective on a daily basis

- Assist the Store Manager in planning, merchandising and maintaining Clip Strips and Power Panels with sales effective items

- Assist the Store Manager in planning and implementing monthly Sales Planners

Minimum Requirements/Qualifications

- Prefer prior retail and management experience

- Strong communication, interpersonal, and written skills

- Ability to lift, bend and transport merchandise weighing up to 50lbs

- Ability to work in a high energy, team environment

This job specification should not be construed to imply that these requirements are the exclusive standards of the position. This is not to be considered a complete list of job duties, which appear in the job description for this position, and which may be amended from time to time at the discretion of Dollar Tree. Incumbents will follow any other instructions and perform any other related duties as may be required by their supervisor.

Dollar Tree is an equal opportunity employer.

Auto Req ID:

128754BR

Zip/Postal Code::

18603

City::

Berwick

State/Province::

Pennsylvania

Address:

326 North Market St

Employment Status::

FT  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""8d064c091a20404fa57d108899713b881810""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein:  
 fedcontractor: 0"
30,"Title: Cook - 180008GL 
 COMPANY:  
 Location ZipCode: 17315 
 Job Description: Cook - 180008GL DESCRIPTION/RESPONSIBILITIES: Want to feed the tiniest of taste buds? KinderCare Education is hiring a cook! As a cook, you will prepare healthy and tasty meals and snacks for the children in our centers. Following a menu and recipes developed by our in-house nutritionist, you&#39;ll ensure our children have the fuel they need to learn and grow. When you join our team as a Cook you will: * Maintain kitchen and related equipment safely and hygienically * Order food and supplies * Dispense and store medication, as requested * Complete timely and accurate documentation according to KinderCare Education and other licensing or regulation requirements * Help with and take on responsibility in other daily center duties, as needed * Support your center&#39;s success by partnering with center staff and leadership to achieve goals around enrollment, accreditation, and engagement Required Skills and Experience: * A love for children and a strong desire to make a difference every day * Familiarity with proper conditions and food storage, the ability to understand the needs of children with food allergies, and to implement methods of food cross-contamination avoidance. * Ability to follow nutritious menus and prepare sufficient quantity of foods for center population * Basic math skills required for measuring and calculating serving portions * Possess a Food Handler&#39;s License or willingness to obtain * At least one year of institutional cooking -- food ordering experience highly desirable * Two or more years of experience working with children, highly desirable * Must be physically able to use the computer with basic proficiency and the ability to lift up to 40 pounds is strongly desired and may be required to work in some classrooms or in the kitchen. * Ability to speak, read, and write English. The benefits our career professionals enjoy: KinderCare Education provides a competitive compensation package. Benefits include: * Medical, dental and vision * Discounted child care * Generous paid time off * Education assistance and reimbursement * Medical expense reimbursement/ Life insurance/Disability benefits/ Health and wellness programs * 401(k) savings and investment plan with employer match KinderCare Education is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, national origin, age, sex, religion, disability, sexual orientation, marital status, military or veteran status, gender identity or expression, or any other basis protected by local, state, or federal law.  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""bfb09de9310a4681af6ded9ce531779f1810""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein:  
 fedcontractor:"
31,"Title: East York - Full-time Sales Specialist Plumbing (starting $15/hr) 
 COMPANY: Lowe's 
 Location ZipCode: 17402 
 Job Description: Job Description:

Position Description

Serves as the store expert on plumbing by providing detailed product information to both customers and peers, promoting and recommending products, plans, or installation services that match customer needs, informing customers on pricing, options or status on pending orders. Includes generating leads, conducting sales activities, building relationships with customers, keeping shelves stocked and correctly displayed, and coordinating successful completion of projects and orders. This includes performing order management duties such as entering new orders for customers, reaching out to vendors on special orders, tracking and fulfilling orders, and resolving issues

Job Requirements

Requires morning, afternoon, and evening availability any day of the week. Physical ability to move large, bulky and/or heavy merchandise. Physical ability to perform tasks that may require prolonged standing, sitting, and other activities necessary to perform job duties.

Minimum Qualifications

High school diploma or equivalent.

1 year external experience in customer facing sales OR 6 months Lowe's retail experience.

Preferred Qualifications

1 year experience entering and submitting customer sales orders, including Special Order.

2 years experience identifying and selling products based upon customer needs or plans.

2 years experience in providing customer service including identifying and resolving customer complaints, greeting customers, answering phones, building relationships with customers, and thanking customers for their business.

2 years experience following up on outstanding or incomplete customer orders, sales, or installs.

1 year experience promoting product related services and plans such as installation, delivery, credit financing, or extended protection plans.

2 years experience in a sales environment with required sales goals or metrics.

1 year employment with Lowe's as a Sales Specialist.

1 year experience in a trade directly related to fashion bath or plumbing.

Job ID: 1417637BR

Line of Business: Store

Job Category: Customer Service

Department: 0041 - Plumbing

Employment Type I: Regular

Employment Type II: Full-Time

Location #: 0415

Location Name: York, PA

City: York

State: PA

EEO Statement:

Loweâs is an equal opportunity employer and administers all personnel practices without regard to race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity or expression, marital status, veteran status, genetics or any other category protected under applicable law.  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""75e799a0f21945f4a87ccf5779c1135e1810""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 560578072 
 fedcontractor: 1"
32,"Title: CDL A Delivery Truck Driver-UP TO $2,500 Sign on Bonus 
 COMPANY: Sysco Corp 
 Location ZipCode: 44101 
 Job Description: Sysco Associate Apply - Click Here

Company: Sysco ClevelandLocation: US-OH-ClevelandZip Code: 44135Minimum Level of Education: Not ApplicableMinimum Years of Experience: 0-1Position Type: Non-ExemptTravel Percentage: 0

More information about this job:



HOME EVERY NIGHT!



UP TO $2,500 Sign on Bonus $1300 - $1500 weekly



OVERVIEW:At Sysco, we offer our associates the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We are looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why good things really do come from Sysco.



POSITION SUMMARY:

First things first. Let us introduce ourselves. Sysco is the #1 foodservice supplier in North America. But we are much more than food. Weâre about everything that surrounds it. And with a workforce of over 50,000 associates in more than 180 locations, Sysco has the talent and reach to go beyond our customersâ expectations.

On your mark.

Sysco has immediate job openings for dependable CDL A Delivery Truck Drivers to safely operate a tractor trailer and unload/deliver various products to an assigned route schedule. Using a positive, friendly attitude, our drivers build relationships with each customer and become familiar with their operations to meet needs and expectations.


Get Set.

It takes a special kind of driver to work for Sysco. Do you have what it takes?

- Yes, age is just a number but drivers must be 21+ years of age.

- License to drive - requires a valid Class A Commercial Driver License with a ""clean"" driving record (no single DUI in the last 3 years and no multiple DUIs within the last 7 years).

- We are a drug-free workplace - must pass pre-employment testing (Drug Screen, Background Check).

- Letâs talk - requires ability to read, write and communicate in English.

- Do the math - basic math skills are important.

- Give your career a lift - our drivers frequently lift, push, or move product weighing up to 100 pounds.

- Winning attitude and approachable personality is a necessity.

- Flexibility is key - overtime hours, working weekends and holidays, and the ability to start at a variety of times all are required in order to successfully meet customers' needs.



Go.

Sysco is more than just a place to work. Our passion for food and our customers has made us the industry leader. To remain at the top, we will continue to think bigger, work harder, and never give up. Are you ready to join us?

Sysco also leads when it comes to pay and benefits for drivers:



- Competitive wages

- Paid Vacation

- Comprehensive healthcare benefits package, with many coverage options

- Generous retirement benefits

- Employee discount programs

- Uniforms, and

- Discounts on company stock for associates interested in also being a shareholder



Applicants must be currently authorized to work in the United States.

Sysco is proud to be an Equal Opportunity and Affirmative Action employer, and considers qualified applicants without regard to race, color, creed, religion, ancestry, national origin, sex, sexual orientation, gender identity, age, disability, veteran status or any other protected factor under federal, state or local law.

This opportunity is available through Sysco Corporation, its subsidiaries and affiliates.

Employment Type: Full Time  <script id=""detrack"" defer src=""https://d2e48ltfsb5exy.cloudfront.net/p/t.js?i=0,1"" data-g=""a961c7fb182e477091a90df79e596c3f1807""></script> 
 Education level:  
 experience:  
 license:  
 training:  
 work Shift:  
 Shift Duration:  
 hours per week:  
 salary:  -   
 NAICS:  
 company information:  
 company mail:  
 company direct:  
 company online:  
 company phone:  
 company fax:  
 company email:  
 fein: 17-416-4813 
 fedcontractor: 1"
